id,title,release_date
24075,Train Simulator: Network Southeast Class 47 Loco Add-On,2010-08-06
47540,Puzzle Quest 2,2010-08-12
50510,Burn Zombie Burn!,2010-08-12
25760,Madballs B*D*I Clan Skins,2010-08-16
25763,Madballs Scorched Evolution Skin Rollup,2010-08-16
25762,Madballs BDI Evolution Skin Rollup,2010-08-16
25764,Madballs Holiday Skin Rollup,2010-08-16
42980,Victoria I Complete,2010-08-20
48800,Ship Simulator Extremes,2010-08-27
22600,Worms Reloaded,2010-08-26
46770,Making History II: The War of the World,2010-06-22
65700,Arma 2: British Armed Forces,2010-08-27
42960,Victoria II,2010-08-30
27930,Booster Trooper Demo,2010-08-31
25761,Madballs Scorched Clan Skins,2010-08-16
28010,Kane &amp; Lynch 2: The Doggie Bag,2010-08-31
28012,Kane &amp; Lynch 2: Multiplayer Masks Pack,2010-08-31
24640,Trainz: Classic Cabon City,2010-09-01
28011,Kane &amp; Lynch 2: Alliance Weapon Pack,2010-08-31
4850,Cossacks: Back to War,2002-11-01
57640,Broken Sword: Director's Cut,2010-09-02
62100,Chime,2010-09-06
50145,Mafia II DLC: Jimmy's Vendetta,2010-09-06
34841,Sniper: Ghost Warrior - Map Pack,2010-09-08
70300,VVVVVV,2010-09-07
48137,The Settlers 7: Conquest - The Empire Expansion DLC,2010-09-08
57300,Amnesia: The Dark Descent,2010-09-08
70400,Recettear: An Item Shop's Tale,2010-09-10
46600,Swarm Arena,2010-08-19
34314,Super Thunder Blade™,2010-09-13
34310,Galaxy Force II™,2010-09-13
70100,Hacker Evolution,2010-09-14
70110,Hacker Evolution: Untold,2010-09-14
38600,Faerie Solitaire,2010-09-17
57620,Patrician IV - Steam Special Edition,2010-09-17
34284,Bonanza Bros.™,2010-09-13
63910,King's Bounty: Crossworlds,2010-09-17
24082,Train Simulator: Green &amp; Gold HST DMU Add-On,2010-09-17
8930,Sid Meier's Civilization® V,2010-09-21
49310,Commander: Conquest of the Americas - Colonial Navy,2010-09-21
41060,Serious Sam Classic: The Second Encounter,2002-02-05
70900,Star Ruler,2010-09-20
9940,Blade Kitten,2010-09-22
22650,Alien Breed 2: Assault,2010-09-22
901553,Serious Sam HD: Gold Edition,2010-09-23
50620,Darksiders™,2010-09-23
2840,X: Beyond the Frontier,1999-07-01
42920,The Kings' Crusade,2010-10-08
29700,Guild Wars: Eye of the North®,2007-08-31
2850,X: Tension,2000-06-01
61510,Age of Wonders II: The Wizard's Throne,1900-01-01
70200,Governor of Poker 2,2010-10-11
70210,Governor of Poker 2 - Premium Edition,2010-10-11
61520,Age of Wonders Shadow Magic,1900-01-01
61500,Age of Wonders,1900-01-01
47790,Medal of Honor™,2010-10-12
46450,Grotesque Tactics: Evil Heroes,2010-10-15
45750,Lost Planet® 2,2010-10-15
57800,Doc Clock: The Toasted Sandwich of Time,2010-10-15
22380,Fallout: New Vegas,2010-10-19
67000,The Polynomial - Space of the music,2010-10-15
80300,Puzzle Bots,2010-10-22
50000,Nimbus,2010-10-25
16868,Civilization V - Babylon (Nebuchadnezzar II),2010-10-25
18040,DeathSpank,2010-10-25
71115,Virtua Fighter™ 2,2010-10-26
34317,Columns™ III,2010-10-26
71114,Sword of Vermilion™,2010-10-26
71112,Golden Axe™ II,2010-10-26
71113,Sonic The Hedgehog,2010-10-26
71111,Flicky™,2010-10-26
71110,ESWAT™: City Under Siege,2010-10-26
34319,Ecco™: The Tides of Time,2010-10-26
34318,Decap Attack™,2010-10-26
34316,Bio-Hazard Battle™,2010-10-26
34315,Alien Storm,2010-10-26
6120,Shank,2010-10-25
35460,The Ball,2010-10-26
32500,STAR WARS™: The Force Unleashed™ II,2010-10-26
62000,Flight Control HD,2010-11-18
33570,Patrician III,2010-11-18
63700,BIT.TRIP BEAT,2010-11-02
46362,Theatre of War 2 - Battle for Caen,2010-11-02
49320,Woody Two-Legs: Attack of the Zombie Pirates,2010-11-02
72400,Clones,2010-11-18
42964,Victoria II: Interwar Spritepack,2010-11-02
43011,Front Mission Evolved: Wanzer Pack 2,2010-11-02
33980,Pound of Ground,2010-11-05
65710,Pat &amp; Mat,2009-10-01
33990,Alternativa,2010-11-03
33950,Fish Fillets 2,2007-04-05
65400,Archon Classic,2010-11-02
42700,Call of Duty®: Black Ops,2010-11-09
38923,Rhythm Zone Tornado Visualizer DLC,2010-11-09
72500,Arcadia,2010-12-02
15740,Oddworld: Munch's Oddysee,2010-12-20
38924,Rhythm Zone DJ Table Visualizer DLC,2010-11-09
15750,Oddworld: Stranger's Wrath HD,2010-12-20
45500,Clickr,2010-12-23
31290,Back to the Future: The Game,2010-12-23
12100,Grand Theft Auto III,2002-05-21
12120,Grand Theft Auto: San Andreas,2005-06-06
35135,Lara Croft GoL: Raziel and Kain Character Pack,2011-01-07
35137,Lara Croft GoL: Things that Go Boom - Challenge Pack 2,2011-01-07
35138,Lara Croft GoL: Hazardous Reunion - Challenge Pack 3,2011-01-07
35136,Lara Croft GoL: All the Trappings - Challenge Pack 1,2011-01-07
12110,Grand Theft Auto: Vice City,2003-05-13
33390,Zeit²,2011-01-12
92300,A.R.E.S.: Extinction Agenda,2011-01-20
80000,APOX,2011-01-20
47780,Dead Space™ 2,2011-01-25
51060,Drawn®: The Painted Tower,2011-01-19
65080,Kaptain Brawe: A Brawe New World,2011-01-20
71168,Wonder Boy III: Monster Lair,2011-01-26
63200,Monday Night Combat,2011-01-24
60340,Luxor: 5th Passage,2011-01-25
71116,Alien Soldier,2011-01-26
71161,Shining in the Darkness,2011-01-26
71119,Light Crusader,2011-01-26
71118,Landstalker: The Treasures of King Nole,2011-01-26
71117,Gunstar Heroes,2011-01-26
71166,ToeJam &amp; Earl,2011-01-26
71165,Streets of Rage 2,2011-01-26
71163,Sonic The Hedgehog 2,2011-01-26
71164,Streets of Rage,2011-01-26
71162,Sonic 3 &amp;  Knuckles,2011-01-26
71160,Shining Force II,2011-01-26
71120,Shining Force,2011-01-26
47890,The Sims™ 3,2009-06-02
48802,Ship Simulator Extremes: Sigita Pack,2011-01-26
47896,The Sims™ 3 Fast Lane Stuff,2010-09-07
47892,The Sims™ 3 World Adventures,2009-11-17
47894,The Sims™ 3 Late Night,2010-10-26
47893,The Sims™ 3 Ambitions,2010-06-02
47895,The Sims™ 3 High-End Loft Stuff,2010-02-02
42000,Trino,2011-01-27
47570,Mishap 2: An Intentional Haunting - Collector's Edition,2011-01-28
47897,The Sims™ 3 Outdoor Living Stuff,2011-02-01
57700,Who's That Flying?!,2011-01-31
63660,Myst: Masterpiece Edition,2011-02-02
90504,Guardians of Graxia: Elves &amp; Dwarves,2011-02-01
7520,Two Worlds II HD,2011-02-03
99200,YOU DON’T KNOW JACK®,2011-02-08
9930,Test Drive Unlimited 2,1900-01-01
24449,King Arthur: The Druids,2011-02-03
41814,Gratuitous Space Battles: Galactic Conquest,2011-02-11
